BGC0000144_protein_2	BGC0000144_protein_2
BGC0000144_protein_3	BGC0000144_protein_3
BGC0000144_protein_3	BGC0002556_protein_32
BGC0000144_protein_3	BGC0000133_protein_36
BGC0000144_protein_3	BGC0000886_protein_6
BGC0000144_protein_3	BGC0000721_protein_37
BGC0000144_protein_3	BGC0000918_protein_1
BGC0000144_protein_3	BGC0001312_protein_11
BGC0000144_protein_3	BGC0001534_protein_4
BGC0000144_protein_3	BGC0002657_protein_2
BGC0000144_protein_3	BGC0002638_protein_8
BGC0000144_protein_3	BGC0001580_protein_31
BGC0000144_protein_3	BGC0002060_protein_7
BGC0000144_protein_4	BGC0000144_protein_4
BGC0000144_protein_4	BGC0002440_protein_22
BGC0000144_protein_4	BGC0000291_protein_60
BGC0000144_protein_4	BGC0000366_protein_7
BGC0000144_protein_4	BGC0001562_protein_2
BGC0000144_protein_4	BGC0001569_protein_2
BGC0000144_protein_4	BGC0001387_protein_10
BGC0000144_protein_4	BGC0002350_protein_2
BGC0000144_protein_8	BGC0000144_protein_8
BGC0000144_protein_12	BGC0000144_protein_12
BGC0000144_protein_12	BGC0000053_protein_2
BGC0000144_protein_12	BGC0001648_protein_4
BGC0000144_protein_12	BGC0000269_protein_24
BGC0000144_protein_12	BGC0001083_protein_3
BGC0000144_protein_12	BGC0001080_protein_8
BGC0000144_protein_12	BGC0001204_protein_5
BGC0000144_protein_12	BGC0000286_protein_11
BGC0000144_protein_12	BGC0001199_protein_23
BGC0000144_protein_12	BGC0002142_protein_7
BGC0000144_protein_12	BGC0002349_protein_40
BGC0000144_protein_12	BGC0001236_protein_11
BGC0000144_protein_12	BGC0001823_protein_29
BGC0000144_protein_12	BGC0001848_protein_40
BGC0000144_protein_12	BGC0001850_protein_7
BGC0000144_protein_12	BGC0001965_protein_17
BGC0000144_protein_12	BGC0001944_protein_11
BGC0000144_protein_12	BGC0002558_protein_19
BGC0000144_protein_12	BGC0002587_protein_8
BGC0000144_protein_12	BGC0001119_protein_21
BGC0000144_protein_12	BGC0002735_protein_17
BGC0000144_protein_12	BGC0001452_protein_7
BGC0000144_protein_12	BGC0001597_protein_12
BGC0000144_protein_12	BGC0002558_protein_17
BGC0000144_protein_12	BGC0000187_protein_39
BGC0000144_protein_12	BGC0000204_protein_12
BGC0000144_protein_12	BGC0000135_protein_8
BGC0000144_protein_12	BGC0000187_protein_38
BGC0000144_protein_12	BGC0000222_protein_38
BGC0000144_protein_12	BGC0001230_protein_11
BGC0000144_protein_12	BGC0001622_protein_18
BGC0000144_protein_12	BGC0000195_protein_28
BGC0000144_protein_12	BGC0001762_protein_21
BGC0000144_protein_12	BGC0000190_protein_21
BGC0000144_protein_12	BGC0000225_protein_9
BGC0000144_protein_12	BGC0000261_protein_8
BGC0000144_protein_12	BGC0002308_protein_19
BGC0000144_protein_12	BGC0000971_protein_6
BGC0000144_protein_12	BGC0001675_protein_24
BGC0000144_protein_12	BGC0001934_protein_14
BGC0000144_protein_12	BGC0000243_protein_9
BGC0000144_protein_12	BGC0001150_protein_9
BGC0000144_protein_12	BGC0001150_protein_4
BGC0000144_protein_12	BGC0000345_protein_5
BGC0000144_protein_12	BGC0000223_protein_26
BGC0000144_protein_12	BGC0000257_protein_22
